2025-04-20 08:48:35,247 [INFO] HTTP Request: GET https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json "HTTP/1.1 200 OK"
2025-04-20 08:48:39,156 [WARNING]  * Debugger is active!
2025-04-20 08:48:39,159 [INFO]  * Debugger PIN: 470-937-502
2025-04-20 08:48:39,360 [INFO]  * Running on http://127.0.0.1:8000/ (Press CTRL+C to quit)
2025-04-20 08:49:07,777 [INFO]  * Detected change in 'C:\\Users\\HP\\anaconda3\\Lib\\site-packages\\oauthlib\\__init__.py', reloading
2025-04-20 08:49:07,813 [INFO]  * Detected change in 'C:\\Users\\HP\\anaconda3\\Lib\\site-packages\\onnxruntime\\__init__.py', reloading
2025-04-20 08:49:07,827 [INFO]  * Detected change in 'C:\\Users\\HP\\anaconda3\\Lib\\opcode.py', reloading
2025-04-20 08:49:07,950 [INFO]  * Detected change in 'C:\\Users\\HP\\anaconda3\\Lib\\site-packages\\openai\\__init__.py', reloading
2025-04-20 08:49:08,004 [INFO]  * Detected change in 'C:\\Users\\HP\\anaconda3\\Lib\\site-packages\\openpyxl\\__init__.py', reloading
2025-04-20 08:49:08,016 [INFO]  * Detected change in 'C:\\Users\\HP\\anaconda3\\Lib\\site-packages\\OpenSSL\\__init__.py', reloading
2025-04-20 08:49:08,032 [INFO]  * Detected change in 'C:\\Users\\HP\\anaconda3\\Lib\\operator.py', reloading
2025-04-20 08:49:08,154 [INFO]  * Detected change in 'C:\\Users\\HP\\anaconda3\\Lib\\site-packages\\opt_einsum\\__init__.py', reloading
2025-04-20 08:49:08,166 [INFO]  * Detected change in 'C:\\Users\\HP\\anaconda3\\Lib\\optparse.py', reloading
2025-04-20 08:49:08,679 [INFO]  * Detected change in 'C:\\Users\\HP\\anaconda3\\Lib\\site-packages\\optree\\__init__.py', reloading
2025-04-20 08:49:08,701 [INFO]  * Detected change in 'C:\\Users\\HP\\anaconda3\\Lib\\site-packages\\orjson\\__init__.py', reloading
2025-04-20 08:49:08,721 [INFO]  * Detected change in 'C:\\Users\\HP\\anaconda3\\Lib\\site-packages\\ormsgpack\\__init__.py', reloading
2025-04-20 08:49:08,753 [INFO]  * Detected change in 'C:\\Users\\HP\\anaconda3\\Lib\\site-packages\\overrides\\__init__.py', reloading
