2025-04-21 08:36:16,196 [INFO] HTTP Request: GET https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json "HTTP/1.1 200 OK"
2025-04-21 08:36:17,367 [WARNING]  * Debugger is active!
2025-04-21 08:36:17,369 [INFO]  * Debugger PIN: 239-469-595
2025-04-21 08:57:05,099 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/_distutils_hack/__init__.py', reloading
2025-04-21 08:57:05,099 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/_distutils_hack/override.py', reloading
2025-04-21 08:57:05,100 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/__init__.py', reloading
2025-04-21 08:57:05,100 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/__init__.py', reloading
2025-04-21 08:57:05,100 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/__init__.py', reloading
2025-04-21 08:57:05,103 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_pkg_resources.py', reloading
2025-04-21 08:57:05,103 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/__init__.py', reloading
2025-04-21 08:57:05,103 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_resources.py', reloading
2025-04-21 08:57:05,104 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_markers.py', reloading
2025-04-21 08:57:05,104 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_integration_zope_interface.py', reloading
2025-04-21 08:57:05,104 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_find_distributions.py', reloading
2025-04-21 08:57:05,104 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_working_set.py', reloading
2025-04-21 08:57:05,105 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/data/my-test-package-source/setup.py', reloading
2025-04-21 08:57:05,105 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/data/my-test-package-zip/my-test-package.zip', reloading
2025-04-21 08:57:05,108 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_pkg_resources.py', reloading
2025-04-21 08:57:05,108 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_pkg_resources.py', reloading
2025-04-21 08:57:05,108 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_pkg_resources.py', reloading
2025-04-21 08:57:05,108 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_resources.py', reloading
2025-04-21 08:57:05,109 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_resources.py', reloading
2025-04-21 08:57:05,109 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_resources.py', reloading
2025-04-21 08:57:05,109 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_working_set.py', reloading
2025-04-21 08:57:05,110 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_working_set.py', reloading
2025-04-21 08:57:05,111 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/test_working_set.py', reloading
2025-04-21 08:57:05,113 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/data/my-test-package-source/setup.py', reloading
2025-04-21 08:57:05,113 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/pkg_resources/tests/data/my-test-package-zip/my-test-package.zip', reloading
2025-04-21 08:57:05,115 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/setuptools/logging.py', reloading
2025-04-21 08:57:05,115 [INFO]  * Detected change in '/home/copilot-venv/lib/python3.12/site-packages/setuptools/_core_metadata.py', reloading
